_SKU_;_EAN_
00-00015241;970000015241
00-00004752;970000004752
00-00000217;970000003761
00-00004796;4897723400660
00-00014333;970000014333
00-00014334;970000014334
00-00014335;970000014335
00-00013517;970000013517
00-00013170;970000013170
00-00013160;970000013160
00-00013161;970000013161
00-00014332;970000014332
00-00015371;2000007384019
00-00015373;2000007385016
00-00015372;2000007383012
00-00005962;4607164526399
00-00005943;2200000186621
00-00005945;2200000186645
00-00005946;2200000186652
00-00005947;2200000186669
00-00005944;2200000186638
00-00005966;970000005966
00-00005954;4607164525279
00-00008678;970000008678
00-00012597;970000012597
00-00012598;970000012598
00-00008680;4607164523879
00-00005949;4607164523862
00-00005974;4607164523169
00-00005972;4607164523152
00-00005971;970000005971
00-00005973;4607164523145
00-00008681;970000008681
00-00014277;4627094716349
00-00014278;970000014278
00-00014270;4627094719326
00-00015456;4627094714147
00-00015457;4627094714222
00-00014275;4627094714444
00-00013978;4627094718824
00-00013979;4627094718862
00-00014269;4627094719043
00-00013981;4627094719067
00-00013982;4627094719098
00-00013984;4627094719135
00-00004355;970000004355
00-00004354;4627094713287
00-00007407;2200000189608
00-00007406;854123000108
00-00014705;4631111143933
00-00010366;970000010366
00-00010378;970000010378
00-00010374;4620761227117
00-00014507;970000014507
00-00010368;970000010368
00-00015582;2200000228857
00-00001841;970000001841
00-00002791;2200000177896
00-00004349;2200000182043
00-00001861;2200000170668
00-00001858;2200000170637
00-00001847;970000001847
00-00012442;2200000216823
00-00001785;3297830274191
00-00011132;970000011132
00-00004414;970000004414
00-00011133;3297830039264
00-00014036;970000014036
00-00010143;970000010143
00-00001792;970000001792
00-00014698;970000014698
00-00007884;970000007884
00-00008746;2200026409612
00-00001533;970000001533
00-00009285;970000009285
00-00011974;4680506013887
00-00005692;970000005692
00-00006000;6417635034593
00-00006002;6417635017718
00-00012093;6417635017978
00-00012094;970000012094
00-00012095;970000012095
00-00006007;6417635037457